1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,0,0.6178423,0,0.5921626,0,0.001438655,0.19333215,0.094225176,0,0,0,0,0,0,0.03371764,0.014326215,0.20952319,0,0,0,0,0,0,0.20240444,0,0.32676747,0,0.18128838,0,0,0,0,0.017394986,0.3279484,0,0,0,0,0,0.2579728,0,0,0,0.026157402,0,0.5334282,0.3903939,0.22505522,0.042074576,0.22659859,0,0,0.12265621,0.26959586,0,0.093053445,0.028346866,0.27430534,0,0.478093,0.17500746,0.22453037,0,0.15630192,0,0,0.08003586,0.12687713,0,0,0.48617005,0,0.002433077,0,0.018192824,0,0.9297153,0.07334023,0.55998343,0,0.24898112,0.5803514,0,0.11267011,0.1945332,0,0.127325,0,0,0,0.5194992,0.079058744,1.2565535,0.3106162,0.34439358,0,0,0,0,0,0.23459324,0.473787,0,0,0,0,0,0.374709,0,0,0,0.4781987,0,0,0,0,0.13981527,0.11202097,0,0,0,0,0,0,0,0.18371177,0
0,0.011508506,0.4396681,0,0.4872455,0.07703896,0.24054065,0.07143961,0.28406116,0,0.00408797,0,0,0,0.024188112,0.010630261,0,0.28760874,0,0,0,0,0.030213892,0,0.37482354,0,0.2851959,0,0.14683244,0,0,0,0.048605505,0.23665711,0.34442624,0,0,0,0,0,0.53907937,0,0,0,0.07202468,0.10332951,0.4176525,0.5993608,0,0.2036794,0.43910736,0,0,0.31691638,0.19136396,0,0.03113383,0,0.23757917,0,0.2676773,0,0.16435353,0,0.048088156,0,0,0.000482954,0.33695108,0,0,0.45189917,0,0.04382675,0.004876256,0,0,0.7862171,0.25366437,0.58341104,0,0.23451063,0,0,0.029418536,0.35278168,0.015154634,0.09710786,0,0,0,0.24030817,0.104753666,0.8992469,0.33131206,0.44705427,0,0,0,0.06683453,0,0.42874217,0.45357352,0.049656995,0,0,0,0,0.16942306,0,0,0,0.31010604,0,0,0,0,0.17306629,0,0.15117349,0,0,0,0,0.012708977,0,0.08877342,0
0,0,0.7240437,0,0.19118573,0,0.30396077,0,0.2894448,0,0,0,0,0,0,0.36020038,0,0.35295892,0,0,0,0,0.009705458,0,0,0,0.35866034,0,0.057711676,0,0,0,0,0.05440962,0.33670437,0.08184008,0,0,0,0,0.6254663,0,0,0,0.3081802,0.104718834,0.82895833,0,0,0.018032748,0.48722726,0,0,0.28436413,0.50149554,0,0,0.029134221,0,0.07879934,0.31840718,0.24946617,0,0,0,0,0.10184019,0,0.2509725,0,0,0.33034852,0,0.047612682,0,0,0,0.67258084,0.13797815,0.7724061,0,0.23645914,0.13774893,0,0,0.504276,0,0.069473304,0,0,0,0.7687058,0.043673746,1.1284767,0.08505508,0.47913748,0,0,0,0,0,0.5550044,0.22471309,0,0,0,0.33317783,0,0.46135756,0,0,0,0.19797117,0.7373558,0,0,0,0.068628535,0,0,0,0.09492452,0,0.19913495,0,0,0,0
0,0.14793712,0.9863412,0,0.18484952,0,0.37550586,0,0,0,0.121977836,0,0,0,0,0.60636425,0.03364785,0.36056262,0,0,0,0,0,0,0.061614275,0.018815055,0.7301082,0,0.10672072,0,0,0,0,0,0.122792915,0,0,0,0,0,0.6618862,0,0,0,0.17409831,0,0.5634529,0.11976904,0,0.25843564,0.9176802,0,0,0.22078645,0.3008482,0,0,0,0.08641615,0.040309947,0.42677462,0.2691853,0.13238807,0,0,0,0.025723934,0,0.15690026,0,0.1054102,0.6233016,0,0.39540577,0.06277181,0,0,0.58563876,0,1.0594311,0,0.12145168,0,0,0,0.2696755,0.010056615,0.016882673,0,0,0.08227026,0.6460991,0,0.35450143,0.54754543,0.28967223,0,0,0,0,0,0.31356955,0.30289707,0,0.07409829,0,0.20563675,0,0.59172595,0,0,0,0.23951073,0,0,0,0,0.074154854,0.07499703,0,0,0,0,0.21831815,0,0,0,0
0,0.092827335,0.91960967,0,0.4334595,0,0.23963563,0,0,0,0.051258646,0,0,0,0,0.12790333,0.2893934,0.40699112,0,0.008836739,0,0.06935001,0,0,0,0.4106571,0.47520164,0,0.33355838,0.0752096,0,0,0,0.06555642,0.02247722,0.110670775,0,0,0.007492941,0,0.3981633,0,0,0,0.3564687,0,0.3808908,0.050880365,0,0.55258554,0.11734548,0,0,0,0.180915,0,0.19431111,0.030436916,0.11894518,0,0.20669827,0,0,0,0.30068976,0,0,0.118134335,0.15872353,0.02586659,0.07052333,0.1983693,0.17396235,0,0.41521007,0,0,0.66404176,0,1.1851869,0.012735862,0.037170134,0.29704174,0,0,0.32856312,0.12997006,0.27982283,0,0,0.056262147,0.6313093,0,0.08764533,0.33393523,0.36217856,0,0,0,0.017196234,0,0.2645782,0.011448748,0,0,0,0.15858111,0,0.5332307,0,0,0,0.31353527,0.046098344,0,0,0.017217964,0,0.13783494,0.122386135,0,0.01894645,0,0,0,0,0.058531355,0.031425796
0,0.114847735,1.1567442,0,0.42244467,0,0.3938147,0,0,0,0.2130802,0.03688902,0,0,0,0.06240757,0,0.28399435,0,0.12607129,0,0,0,0,0.1249108,0.422514,0.7608134,0.059840396,0.50281394,0.044787213,0,0,0,0.066257656,0,0,0,0,0,0,0.49042773,0,0,0.120784484,0.1665096,0,0.37232175,0.04390888,0,0.2077887,0.20784272,0,0,0,0.14049767,0,0,0,0.05156911,0,0.35870925,0,0,0,0.25448748,0,0,0.033471968,0.24069242,0.04769609,0.19715764,0.29448366,0.226444,0,0.8803058,0,0,0.35737193,0,1.439651,0.006768163,0.10959534,0.15092109,0,0,0.32069603,0.38248453,0.45435926,0,0,0,0.60006726,0,0.13893893,0.43872252,0.30424947,0,0,0,0,0,0.037928954,0,0,0,0,0,0,0.7859011,0,0.043060184,0,0.35860074,0,0,0,0.07780035,0,0.23598242,0,0,0.17171465,0,0,0.11947093,0,0,0
0,0,0.6449126,0,0.5446459,0,0.055268288,0.031520043,0,0,0.01488851,0,0,0,0,0,0.082820386,0.05381085,0,0,0.060604222,0,0,0,0.0981092,0.3309431,0.20942771,0,0,0,0,0,0.3000471,0.03700849,0.075011805,0,0,0,0,0,0.9948046,0,0,0,0.30038753,0,0.7423289,0.5205005,0,0.44004828,0.47518957,0,0,1.0579157,0.5087144,0,0.13909417,0,0.758189,0,0.14617889,0.040813565,0,0,0.053429227,0,0,0,0.3462367,0,0,0.012817971,0.03661211,0.01984134,0.1669003,0,0,0.8293289,0.08153579,0.64477175,0,0.08803793,0.16508466,0,0.04900626,0.07809314,0.1433543,0.35385633,0,0,0.007712272,0.7045226,0.019695021,0.21849892,0.43069148,0.4319381,0,0,0,0.058749065,0,0.5464696,0,0,0,0,0.16710916,0,0.43134925,0,0,0,0.24982227,0,0,0.022688791,0,0,0.061951745,0.14407834,0,0,0,0,0,0,0,0
0,0,0.839681,0,0.40966102,0,0.34790513,0,0,0,0.052443326,0,0,0,0,0.43502894,0.10511159,0.075412616,0,0,0,0,0,0,0.15275219,0.12209484,0.41018623,0,0.11040932,0,0,0,0.027180564,0.17953217,0.24261111,0,0,0,0,0,0.83405703,0,0,0,0,0.098714955,0.77971196,0.13424663,0,0.15236372,0.6432202,0,0,0.3577789,0.4512028,0,0.18467015,0.23459032,0.3216604,0.17937334,0,0.37024757,0,0,0.30951184,0,0,0,0.40282083,0,0.16193038,0.12845187,0,0.11823406,0.10282351,0,0,0.46679962,0.000609698,1.0364134,0,0.089715056,0.10483185,0,0,0.5290309,0.19524187,0.3913595,0,0.16713472,0,0.5402674,0.027013112,0.47659072,0.23423186,0.2034042,0,0,0,0.04716441,0,0.07839622,0.057180077,0.03899519,0,0,0.31754982,0,0.48548216,0,0,0,0.14127736,0,0,0,0,0,0.039513215,0,0,0.049986124,0,0.16824637,0,0,0.02877838,0
0.027176887,0.1619547,0.7998268,0,0.6017398,0,0,0.03795061,0,0,0,0,0.09301708,0,0,0.36477983,0,0.2868273,0,0,0,0.00841713,0,0,0.20586073,0.20130324,0.48323438,0,0.090886116,0.001350087,0,0,0,0.20755935,0.047106985,0,0,0,0,0,0.45227084,0,0,0,0.1603813,0,0.34401003,0.3314502,0.16232353,0.36033913,0.14891303,0,0,0.10488325,0.16065422,0,0.23075615,0,0.23336704,0,0.24419259,0.0983084,0.105383694,0.027278623,0.23669657,0,0.2886454,0.11191601,0.10091363,0,0.014894925,0.39102522,0.25628644,0.0401745,0.03623569,0,0,0.6735519,0.036002323,1.0806397,0.069549106,0.19721189,0.5076308,0,0.23664422,0.34430376,0.07723969,0.28873166,0,0.16783914,0,0.6170635,0.045540374,0.5357029,0.20406204,0.2681352,0,0,0,0,0,0.299031,0.35408187,0.004471123,0,0,0.093644984,0,0.54779583,0,0,0,0.29373297,0,0,0,0.051220655,0.034037374,0.072215974,0.03259866,0,0.056200683,0,0.06349097,0,0,0.029318254,0.10338513
0,0,0.45752275,0,0.2666695,0,0.17511997,0.03483124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3376729,0,0,0,0,0.075298905,0.032739416,0.08568777,0.41890153,0,0,0,0,0,0.62058085,0,0,0,0.27390507,0,0.76398534,0.14479272,0,0.20255893,0.6591349,0,0,0.84258974,0.47482565,0,0.003838785,0.2765179,0.51023406,0,0.7491087,0,0,0,0.15454882,0,0,0,0.51407355,0,0.0999728,0.54692346,0.12158324,0,0.19066721,0.027055457,0,0.7567485,0.09093761,0.6379825,0,0.1157023,0.30984205,0,0,0.19718927,0,0.18624471,0,0,0,0.5163521,0,0.30070567,0.27065948,0.45432347,0,0,0,0,0,0.8089454,0.2321135,0,0,0,0,0,0.32618546,0,0,0,0.17003454,0,0,0,0,0,0.39136136,0,0,0,0,0,0,0,0,0.08458644
